combinacion;num1;num2;num3;num4;num5
14702;1;4;7;0;2
14720;1;4;7;2;0
17024;1;7;0;2;4
17042;1;7;0;4;2
17204;1;7;2;0;4
17240;1;7;2;4;0
17402;1;7;4;0;2
17420;1;7;4;2;0
20147;2;0;1;4;7
20174;2;0;1;7;4
20417;2;0;4;1;7
20471;2;0;4;7;1
20714;2;0;7;1;4
20741;2;0;7;4;1
21047;2;1;0;4;7
21074;2;1;0;7;4
21407;2;1;4;0;7
21470;2;1;4;7;0
21704;2;1;7;0;4
21740;2;1;7;4;0
24017;2;4;0;1;7
24071;2;4;0;7;1
24107;2;4;1;0;7
24170;2;4;1;7;0
24701;2;4;7;0;1
24710;2;4;7;1;0
27014;2;7;0;1;4
27041;2;7;0;4;1
27104;2;7;1;0;4
27140;2;7;1;4;0
27401;2;7;4;0;1
27410;2;7;4;1;0
40127;4;0;1;2;7
40172;4;0;1;7;2
40217;4;0;2;1;7
40271;4;0;2;7;1
40712;4;0;7;1;2
40721;4;0;7;2;1
41027;4;1;0;2;7
41072;4;1;0;7;2
41207;4;1;2;0;7
41270;4;1;2;7;0
41702;4;1;7;0;2
41720;4;1;7;2;0
42017;4;2;0;1;7
42071;4;2;0;7;1
42107;4;2;1;0;7
42170;4;2;1;7;0
42701;4;2;7;0;1
42710;4;2;7;1;0
47012;4;7;0;1;2
47021;4;7;0;2;1
47102;4;7;1;0;2
47120;4;7;1;2;0
47201;4;7;2;0;1
47210;4;7;2;1;0
70124;7;0;1;2;4
70142;7;0;1;4;2
70214;7;0;2;1;4
70241;7;0;2;4;1
70412;7;0;4;1;2
70421;7;0;4;2;1
71024;7;1;0;2;4
71042;7;1;0;4;2
71204;7;1;2;0;4
71240;7;1;2;4;0
71402;7;1;4;0;2
